T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
0.002818383	10.804660885713124	3.2869864681514827	3.2910385709958687
0.002511887	10.799732950828261	3.2863044258866294	3.2911066302398457
0.002238721	10.793287089529823	3.2853799101371712	3.2920171203503306
0.001995262	10.783843139109223	3.2839539783304303	3.2938801935128224
0.001778279	10.77024088161892	3.2818283016505525	3.2956805406466985
0.001584893	10.752352686349813	3.2789815310012105	3.296834137045217
0.001412538	10.730188968780665	3.2754589985344		3.2974682847401775
0.001258925	10.704030807790437	3.27135170275965	3.296506180138918
0.001122018	10.674075869389748	3.2667023627014347	3.2968545485914937
0.001		    10.63659514902435	3.260864603667039	3.2994966216642085
0.000891251	10.588403171036003	3.253268358337781	3.303155468855535
0.0007943284	10.526871485237216	3.243420599377965	3.307149054890491
0.0007079456	10.449593757354966	3.2308994114828278	3.3113860632922187
0.0006309572	10.354041263577791	3.2152855357693237	3.3150455557629925
0.0005623413	10.236925147334237	3.195973004661437	3.3211483243125643
0.0005011873	10.09140239509389	3.171551968076466	3.3290734546005676
0.0004466837	9.912170462753654	3.14093094823001	3.3386709909502668
0.0003981071	9.69404747053477	3.1031274928553616	3.3455614855594735
0.0003548134	9.43379789856339	3.0573447088961294	3.356000134038363
0.0003162278	9.119837302266971	3.000824219662566	3.3701626669195024
0.0002818383	8.746176798286685	2.93133487139718	3.383305441954734
0.0002511887	8.310584116181078	2.847905016165549	3.392071144604455
0.0002238721	7.815187119415229	2.7505172401793088	3.392521403182552
0.0001995262	7.266175120997003	2.6394417984782517	3.381065403821621
0.0001778279	6.684052542078878	2.517503618193835	3.3243915803735735
0.0001584893	6.115884039629306	2.393688312727558	3.2197748065910576
0.0001412538	5.593938204265772	2.2751910031738283	3.082637156265548
0.0001258925	5.142415538706207	2.167938080266149	2.91931997372737
0.0001122018	4.776648352778943	2.076486433569033	2.7491517046013083
0.0001	    	4.496121502556056	2.0025479094825953	2.5938731083576156
0.00008912505	4.290412848846176	1.945575755128571	2.461447263182624
0.00007943284	4.147421651053294	1.9041345387130697	2.3545672602255516
0.00007079457	4.053921636792834	1.8759916922848345	2.2736671598013447
0.00006309577	3.9971931111571086	1.858389153044311	2.2169343656698772
0.00005623413	3.9656824861391073	1.8483705632333247	2.180155988970855
0.0000501187	3.949708675204195	1.8431995728468855	2.160748843883927
0.00004466837	3.9419298871185338	1.8406786683693273	2.1478772444312377
0.00003981071	3.940019356587756	1.8399691499721251	2.1431265248054507
0.00003548135	3.9390269037835886	1.839639148419692	2.142111637815181
0.00003162278	3.938796045196621	1.839557776965258	2.141292201662246
0.00002818382	3.9387302719827537	1.8395355538186355	2.141210045790029
0.00002511887	3.9387188231481582	1.8395315831050165	2.141155892269838
0.00002238721	3.9387170037729877	1.8395309599850418	2.1411546537971287
0.00001995263	3.93871688123947	1.8395309111696336	2.141151792864682
0.00001000000	3.938717600158463	1.8395310940407135	2.141153043250102
0.00000100000	3.938717600158463	1.8395310940407135	2.141153043250102
0.00000010000	3.938717600158463	1.8395310940407135	2.141153043250102
0.00000001000	3.938717600158463	1.8395310940407135	2.141153043250102
0.00000000100	3.938717600158463	1.8395310940407135	2.141153043250102
0.00000000010	3.938717600158463	1.8395310940407135	2.141153043250102
